State,City,Station,Last_Update,Latitude,Longitude,PM2.5_Min,PM2.5_Max,PM2.5_Avg,PM10_Min,PM10_Max,PM10_Avg,SO2_Min,SO2_Max,SO2_Avg,CO_Min,CO_Max,CO_Avg,OZONE_Min,OZONE_Max,OZONE_Avg,NO2_Min,NO2_Max,NO2_Avg,NH3_Min,NH3_Max,NH3_Avg,AQI_Value,AQI_Predominant
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",20-11-2023 12:00:00,16.5150833,80.5181667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,,,,
Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB",20-11-2023 12:00:00,14.675886,77.593027,15,34,24,16,39,24,4,17,7,20,40,29,16,52,25,17,39,23,2,3,3,29,CO
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",20-11-2023 12:00:00,13.204880,79.097889,11,30,19,13,35,22,4,18,9,2,5,4,23,92,35,8,21,14,1,2,2,35,OZONE
Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB",20-11-2023 12:00:00,14.465052,78.824187,19,57,37,18,48,32,1,2,2,12,30,21,6,48,21,21,54,30,1,3,1,37,PM2.5
Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",20-11-2023 12:00:00,16.9872867,81.7363176,31,72,44,43,101,58,9,15,12,6,48,24,20,43,28,12,26,18,2,4,3,58,PM10
Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",20-11-2023 12:00:00,13.67,79.35,22,62,49,23,54,41,3,16,11,14,24,17,25,50,29,35,53,46,2,4,3,49,PM2.5
Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB",20-11-2023 12:00:00,13.615387,79.409230,22,41,31,22,41,31,4,5,5,44,52,48,4,26,13,15,26,19,2,3,3,48,CO
Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB",20-11-2023 12:00:00,16.536107,80.594233,38,72,50,33,73,48,4,17,8,17,19,18,33,88,49,6,19,11,4,5,4,50,PM2.5
Andhra_Pradesh,Vijayawada,"Kanuru, Vijayawada - APPCB",20-11-2023 12:00:00,16.486692,80.699436,39,46,42,36,45,39,1,10,4,36,66,47,39,41,40,14,17,16,1,1,1,47,CO
Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB",20-11-2023 12:00:00,16.509717,80.612222,30,74,49,27,68,45,7,32,13,32,38,33,22,102,54,36,90,53,3,6,5,54,OZONE
Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",20-11-2023 12:00:00,17.72,83.3,38,76,57,60,95,74,4,21,12,14,57,27,3,62,14,12,44,26,2,5,3,74,PM10
Assam,Byrnihat,"Central Academy for SFS, Byrnihat - PCBA",20-11-2023 12:00:00,26.071318,91.87488,18,493,271,23,500,273,6,8,7,34,112,68,6,8,7,23,61,35,3,3,3,273,PM10
Assam,Guwahati,"IITG, Guwahati - PCBA",20-11-2023 12:00:00,26.2028636,91.70046436,12,169,77,15,104,66,10,11,10,6,22,16,2,18,5,1,6,2,5,5,5,77,PM2.5
Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",20-11-2023 12:00:00,26.10887,91.589544,27,300,99,39,147,82,2,3,2,8,106,32,2,130,48,2,16,6,1,3,2,99,PM2.5
Assam,Guwahati,"Pan Bazaar, Guwahati - PCBA",20-11-2023 12:00:00,26.187500,91.744194,19,196,89,35,140,86,49,73,56,12,78,36,16,16,16,NA,NA,NA,1,2,2,89,PM2.5
Assam,Guwahati,"Railway Colony, Guwahati - PCBA",20-11-2023 12:00:00,26.181742,91.78063,17,300,114,25,169,90,27,47,34,10,90,37,12,36,23,3,5,3,,,,114,PM2.5
Assam,Nagaon,"Christianpatty, Nagaon - PCBA",20-11-2023 12:00:00,26.349082,92.68449,3,92,40,23,193,112,NA,NA,NA,1,28,25,3,65,6,8,38,18,2,4,3,112,PM10
Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",20-11-2023 12:00:00,26.446912,91.439057,32,385,150,74,474,162,9,22,13,26,110,40,18,20,18,36,54,44,8,10,9,162,PM10
Assam,Silchar,"Tarapur, Silchar - PCBA",20-11-2023 12:00:00,24.82827,92.79525,20,26,23,29,63,40,3,7,5,28,44,33,,,,10,19,15,1,1,1,40,PM10
Assam,Sivasagar,"Girls College, Sivasagar - PCBA",20-11-2023 12:00:00,26.987634,94.636574,7,28,14,17,99,47,4,7,6,8,34,21,2,5,3,11,18,15,1,2,2,47,PM10
Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",20-11-2023 12:00:00,26.146529,87.454184,10,332,177,45,261,141,14,20,17,24,82,58,1,39,8,6,27,8,6,7,6,177,PM2.5
Bihar,Arrah,"New DM Office, Arrah - BSPCB",20-11-2023 12:00:00,25.5626095,84.663264,42,500,259,54,457,171,16,22,18,18,29,25,1,61,13,1,8,3,5,9,7,259,PM2.5
Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",20-11-2023 12:00:00,24.75746,84.366208,NA,NA,NA,NA,NA,NA,8,18,12,16,101,64,1,76,18,6,16,9,1,1,1,,
Bihar,Begusarai,"DRCC Anandpur, Begusarai - BSPCB",20-11-2023 12:00:00,25.444266,86.140169,83,478,310,73,423,264,5,18,13,24,48,31,5,82,16,6,55,37,4,8,4,310,PM2.5
Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",20-11-2023 12:00:00,26.80365,84.51954,35,342,191,60,386,194,9,19,16,22,110,84,,,,NA,NA,NA,5,5,5,194,PM10
Bihar,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",20-11-2023 12:00:00,25.251013,86.989001,28,308,137,41,151,96,20,29,24,14,42,38,24,40,29,40,76,50,4,8,5,137,PM2.5
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",20-11-2023 12:00:00,25.265194,87.012947,50,332,197,63,264,155,15,27,21,12,16,15,10,18,13,11,30,18,5,8,7,197,PM2.5
Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",20-11-2023 12:00:00,25.204762,85.514960,20,67,41,24,127,73,2,12,6,10,50,30,5,72,19,9,10,9,2,2,2,73,PM10
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",20-11-2023 12:00:00,25.7808257,84.7446768,55,408,273,54,399,193,39,62,51,52,95,57,1,6,2,14,23,20,4,8,6,273,PM2.5
Bihar,Gaya,"Collectorate, Gaya - BSPCB",20-11-2023 12:00:00,24.7955,84.9994,30,306,177,,,,4,29,16,30,66,34,47,88,57,11,12,11,,,,177,PM2.5
Bihar,Gaya,"Kareemganj, Gaya - BSPCB",20-11-2023 12:00:00,24.792403,84.992416,70,382,240,70,332,175,2,15,9,6,40,31,10,75,32,30,31,31,2,17,5,240,PM2.5
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",20-11-2023 12:00:00,24.762518,84.982348,19,94,55,39,64,52,7,9,8,12,64,50,4,80,14,12,31,17,3,5,5,55,PM2.5
Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",20-11-2023 12:00:00,25.697189,85.245900,19,244,94,30,425,158,7,9,8,20,82,52,25,38,33,7,20,12,3,5,4,158,PM10
Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",20-11-2023 12:00:00,25.560083,87.553265,13,445,222,42,407,163,18,23,21,29,34,33,20,25,23,28,41,34,6,8,7,222,PM2.5
Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",20-11-2023 12:00:00,26.0881305,87.93840336,12,413,138,27,482,149,13,21,17,6,40,12,7,15,9,45,107,68,8,10,9,149,PM10
Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",20-11-2023 12:00:00,27.308328,84.531742,40,217,65,45,144,75,1,3,1,32,70,48,10,27,20,23,37,29,NA,NA,NA,75,PM10
Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",20-11-2023 12:00:00,26.63086,84.90051,62,372,201,63,319,145,NA,NA,NA,35,80,68,20,89,33,80,127,102,13,21,17,201,PM2.5
Bihar,Munger,"Town Hall, Munger - BSPCB",20-11-2023 12:00:00,25.376776,86.471523,23,87,49,36,121,72,,,,26,60,46,1,11,3,18,20,19,3,3,3,72,PM10
Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",20-11-2023 12:00:00,26.11442,85.39813,95,375,240,108,408,217,7,40,10,48,112,70,7,89,39,3,12,6,7,9,8,240,PM2.5
Bihar,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",20-11-2023 12:00:00,26.1403345,85.3650192,57,468,272,101,400,206,18,19,18,28,50,44,4,79,19,5,44,9,2,3,2,272,PM2.5
Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",20-11-2023 12:00:00,26.1209,85.3647,33,305,113,,,,3,7,6,20,62,42,31,43,36,46,60,52,,,,113,PM2.5
Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",20-11-2023 12:00:00,25.586562,85.043586,59,366,222,70,291,175,5,7,6,22,117,73,2,85,19,5,68,31,2,3,2,222,PM2.5
Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",20-11-2023 12:00:00,25.592539,85.227158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",20-11-2023 12:00:00,25.5941,85.1376,28,315,140,,,,1,4,3,2,9,7,12,17,15,18,21,19,,,,140,PM2.5
Bihar,Patna,"Muradpur, Patna - BSPCB",20-11-2023 12:00:00,25.619651,85.147382,143,375,271,109,462,306,6,30,13,5,128,54,2,52,15,7,93,34,1,18,5,306,PM10
Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",20-11-2023 12:00:00,25.599486,85.113666,58,96,76,87,296,158,23,28,26,42,93,74,1,82,21,22,76,45,6,10,7,158,PM10
Bihar,Patna,"Samanpura, Patna - BSPCB",20-11-2023 12:00:00,25.596727,85.085624,45,400,263,85,312,186,7,14,10,14,102,70,17,63,34,9,35,18,7,11,9,263,PM2.5
Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",20-11-2023 12:00:00,25.366336,87.117468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",20-11-2023 12:00:00,25.03280,85.41948,15,325,179,46,209,120,4,4,4,10,11,10,21,24,23,8,8,8,1,2,1,179,PM2.5
Bihar,Saharsa,"Police Line, Saharsa - BSPCB",20-11-2023 12:00:00,25.892357,86.590325,15,385,219,58,336,153,2,2,2,12,16,15,3,79,20,7,8,7,9,9,9,219,PM2.5
Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",20-11-2023 12:00:00,25.859655,85.77944,43,312,169,41,165,92,14,17,16,30,38,35,6,9,8,2,6,4,2,4,3,169,PM2.5
Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",20-11-2023 12:00:00,24.952822,84.002396,21,164,59,22,129,62,NA,NA,NA,14,46,29,4,5,4,7,22,13,3,8,5,62,PM10
Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB",20-11-2023 12:00:00,26.2271665,84.3570427,NA,NA,NA,NA,NA,NA,2,67,22,83,149,130,15,109,35,32,101,75,2,9,7,,
Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",20-11-2023 12:00:00,30.735567,76.775714,47,302,107,80,285,134,4,72,13,23,108,31,3,148,30,16,136,58,4,7,5,134,PM10
Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",20-11-2023 12:00:00,30.751462,76.762879,85,168,112,101,152,120,5,28,10,20,104,39,4,44,5,6,38,16,7,34,16,120,PM10
Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",20-11-2023 12:00:00,30.719859,76.738637,48,307,132,73,192,124,2,79,13,42,130,68,2,45,7,21,99,57,3,5,4,132,PM2.5
Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",20-11-2023 12:00:00,21.194815,81.314770,63,100,82,69,121,99,10,12,11,29,46,36,4,7,4,15,24,19,6,6,6,99,PM10
Chhattisgarh,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",20-11-2023 12:00:00,21.185571,81.343175,28,60,41,30,76,49,8,17,11,27,62,40,9,47,16,4,7,6,1,2,1,49,PM10
Chhattisgarh,Bhilai,"Hathkhoj, Bhilai - CECB",20-11-2023 12:00:00,21.224231,81.408350,49,148,86,62,130,104,15,80,43,12,36,24,25,84,37,21,57,38,8,9,8,104,PM10
Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",20-11-2023 12:00:00,22.08815,82.13737,18,48,29,25,69,40,,,,,,,,,,6,6,6,,,,40,PM10
Chhattisgarh,Chhal,"Nawapara SECL Colony, Chhal - CECB",20-11-2023 12:00:00,22.118125,83.140608,18,47,34,25,88,49,6,39,13,40,95,62,5,57,14,6,57,16,2,2,2,62,CO
Chhattisgarh,Korba,"Rampur, Korba - CECB",20-11-2023 12:00:00,22.368195,82.746431,18,53,26,14,133,61,6,9,8,14,26,23,NA,NA,NA,23,31,27,1,3,2,61,PM10
Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",20-11-2023 12:00:00,22.348441,82.549611,9,36,23,22,87,42,8,13,10,20,34,23,47,50,47,57,65,61,3,5,5,61,NO2
Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",20-11-2023 12:00:00,22.1910172,83.5197009,7,32,18,11,111,31,7,11,9,16,30,20,9,61,25,7,27,13,1,2,2,31,PM10
Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",20-11-2023 12:00:00,21.258815,81.578979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,
Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",20-11-2023 12:00:00,21.219665,81.630094,34,59,43,31,75,49,3,4,3,28,76,37,3,23,4,38,69,46,1,1,1,49,PM10
Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",20-11-2023 12:00:00,21.371751,81.664929,27,53,40,60,193,104,2,6,3,31,59,49,3,10,3,11,31,24,10,13,12,104,PM10
Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",20-11-2023 12:00:00,22.06631475,83.33820077,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,26,26,36,42,36,NA,NA,NA,NA,NA,NA,,
Delhi,Delhi,"Alipur, Delhi - DPCC",20-11-2023 12:00:00,28.815329,77.153010,303,443,365,127,348,210,2,23,9,35,112,70,5,199,17,22,110,48,8,13,10,365,PM2.5
Delhi,Delhi,"Anand Vihar, Delhi - DPCC",20-11-2023 12:00:00,28.647622,77.3158090,187,500,359,133,500,323,1,18,7,,,,7,241,48,22,80,51,5,13,10,359,PM2.5
Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",20-11-2023 12:00:00,28.695381,77.181665,136,367,309,157,447,343,4,11,6,,,,2,7,3,22,52,35,4,7,5,343,PM10
Delhi,Delhi,"Aya Nagar, Delhi - IMD",20-11-2023 12:00:00,28.4706914,77.1099364,156,356,261,143,412,206,,,,53,95,86,20,29,22,6,7,7,,,,261,PM2.5
Delhi,Delhi,"Bawana, Delhi - DPCC",20-11-2023 12:00:00,28.776200,77.051074,309,500,416,177,500,367,3,9,4,45,125,100,4,131,36,9,83,26,10,14,11,416,PM2.5
Delhi,Delhi,"Burari Crossing, Delhi - IMD",20-11-2023 12:00:00,28.7256504,77.2011573,148,397,320,115,400,247,,,,109,119,117,8,139,12,4,7,6,,,,320,PM2.5
Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",20-11-2023 12:00:00,28.5512005,77.2735737,74,343,259,108,397,229,,,,12,108,106,15,71,38,23,33,27,,,,259,PM2.5
Delhi,Delhi,"DTU, Delhi - CPCB",20-11-2023 12:00:00,28.7500499,77.1112615,74,336,220,141,455,283,31,33,32,46,116,102,6,23,7,136,401,245,12,49,25,283,PM10
Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",20-11-2023 12:00:00,28.498571,77.264840,257,423,340,141,402,226,3,22,6,40,117,103,3,98,24,13,74,38,6,12,9,340,PM2.5
Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",20-11-2023 12:00:00,28.5710274,77.0719006,277,500,384,163,500,343,2,8,4,32,130,110,2,59,4,26,117,63,20,30,24,384,PM2.5
Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",20-11-2023 12:00:00,28.5627763,77.1180053,208,436,328,129,366,242,,,,46,132,119,1,76,5,6,49,26,,,,328,PM2.5
Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",20-11-2023 12:00:00,28.6811736,77.3025234,113,370,248,122,412,189,13,42,18,52,118,86,10,144,24,14,28,21,8,14,12,248,PM2.5
Delhi,Delhi,"ITO, Delhi - CPCB",20-11-2023 12:00:00,28.628624,77.241060,228,415,321,129,371,204,4,26,15,14,148,110,37,105,38,52,419,242,4,25,14,321,PM2.5
Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",20-11-2023 12:00:00,28.732820,77.170633,277,469,402,165,477,377,11,48,21,40,124,83,10,102,18,11,28,20,10,25,20,402,PM2.5
Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",20-11-2023 12:00:00,28.580280,77.233829,223,407,325,139,328,208,1,33,12,18,141,106,13,101,31,12,123,33,11,18,13,325,PM2.5
Delhi,Delhi,"Lodhi Road, Delhi - IMD",20-11-2023 12:00:00,28.5918245,77.2273074,186,386,283,134,318,172,,,,97,124,122,8,98,28,6,8,7,,,,283,PM2.5
Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",20-11-2023 12:00:00,28.611281,77.237738,257,429,332,143,416,238,1,9,6,20,104,83,8,74,17,11,101,44,23,30,26,332,PM2.5
Delhi,Delhi,"Mandir Marg, Delhi - DPCC",20-11-2023 12:00:00,28.636429,77.201067,110,473,336,113,417,210,1,8,5,5,105,75,2,29,16,52,81,66,17,20,18,336,PM2.5
Delhi,Delhi,"Mundka, Delhi - DPCC",20-11-2023 12:00:00,28.684678,77.076574,302,500,384,157,500,324,11,22,16,28,149,83,6,70,13,29,143,78,6,12,9,384,PM2.5
Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",20-11-2023 12:00:00,28.60909,77.0325413,253,416,345,155,364,252,14,23,18,38,120,89,14,82,23,20,81,52,11,23,17,345,PM2.5
Delhi,Delhi,"Najafgarh, Delhi - DPCC",20-11-2023 12:00:00,28.570173,76.933762,240,385,326,129,279,182,2,6,4,25,82,68,1,82,1,8,38,22,20,25,22,326,PM2.5
Delhi,Delhi,"Narela, Delhi - DPCC",20-11-2023 12:00:00,28.822836,77.101981,297,432,374,168,421,322,1,11,4,5,119,61,6,72,12,17,93,52,7,14,10,374,PM2.5
Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",20-11-2023 12:00:00,28.567890,77.250515,301,500,388,152,445,281,7,19,13,2,132,63,2,252,9,28,224,94,12,25,16,388,PM2.5
Delhi,Delhi,"New Moti Bagh, Delhi - MHUA",20-11-2023 12:00:00,28.57834,77.18400,302,456,346,,,,,,,36,141,127,,,,1,16,6,,,,346,PM2.5
Delhi,Delhi,"North Campus, DU, Delhi - IMD",20-11-2023 12:00:00,28.6573814,77.1585447,239,424,341,121,409,246,,,,68,120,112,14,67,20,25,61,39,,,,341,PM2.5
Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",20-11-2023 12:00:00,28.530785,77.271255,233,444,370,146,431,319,8,26,14,14,179,96,4,74,17,33,184,94,7,18,13,370,PM2.5
Delhi,Delhi,"Patparganj, Delhi - DPCC",20-11-2023 12:00:00,28.623763,77.287209,237,500,377,144,500,322,7,22,16,40,148,105,13,115,58,15,144,79,7,10,9,377,PM2.5
Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",20-11-2023 12:00:00,28.674045,77.131023,293,500,410,145,481,336,NA,NA,NA,2,132,33,15,41,29,60,187,116,5,9,7,410,PM2.5
Delhi,Delhi,"Pusa, Delhi - DPCC",20-11-2023 12:00:00,28.639652,77.146275,260,438,334,157,432,231,5,15,8,16,110,97,3,17,4,33,122,48,4,12,6,334,PM2.5
Delhi,Delhi,"Pusa, Delhi - IMD",20-11-2023 12:00:00,28.636110,77.173332,185,436,314,120,342,193,,,,72,126,121,26,43,35,23,106,71,,,,314,PM2.5
Delhi,Delhi,"R K Puram, Delhi - DPCC",20-11-2023 12:00:00,28.563262,77.186937,273,465,354,157,423,246,2,48,26,30,101,101,8,159,54,24,179,65,6,9,7,354,PM2.5
Delhi,Delhi,"Rohini, Delhi - DPCC",20-11-2023 12:00:00,28.732528,77.119920,293,492,392,156,459,345,2,12,5,42,151,106,5,83,40,14,79,50,20,28,24,392,PM2.5
Delhi,Delhi,"Shadipur, Delhi - CPCB",20-11-2023 12:00:00,28.6514781,77.1473105,176,500,355,132,500,335,6,76,26,32,103,57,11,66,20,51,104,74,2,75,40,355,PM2.5
Delhi,Delhi,"Sirifort, Delhi - CPCB",20-11-2023 12:00:00,28.5504249,77.2159377,273,448,368,154,436,318,34,49,42,22,122,114,8,76,24,33,38,35,6,7,7,368,PM2.5
Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",20-11-2023 12:00:00,28.710508,77.249485,253,427,362,145,418,275,1,11,4,2,106,28,4,96,12,19,69,36,7,7,7,362,PM2.5
Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",20-11-2023 12:00:00,28.531346,77.190156,237,378,318,129,263,171,6,50,14,30,105,77,3,39,14,3,81,24,5,12,8,318,PM2.5
Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",20-11-2023 12:00:00,28.672342,77.315260,65,361,165,135,418,282,3,10,6,10,153,76,5,21,7,13,74,42,9,14,11,282,PM10
Delhi,Delhi,"Wazirpur, Delhi - DPCC",20-11-2023 12:00:00,28.699793,77.165453,297,500,398,185,500,353,8,33,15,5,170,116,4,68,12,7,34,20,,,,398,PM2.5
Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",20-11-2023 12:00:00,23.107969,72.574648,73,203,114,88,134,112,2,5,3,12,60,32,24,32,28,11,12,12,2,2,2,114,PM2.5
Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",20-11-2023 12:00:00,22.977134,72.553024,108,287,176,120,176,141,11,11,11,7,15,10,31,71,32,10,11,10,3,3,3,176,PM2.5
Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",20-11-2023 12:00:00,23.002657,72.591912,100,287,187,99,168,133,8,97,21,28,94,64,11,90,52,11,118,45,,,,187,PM2.5
Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",20-11-2023 12:00:00,23.020509,72.579261,48,97,66,74,122,93,1,3,1,12,104,29,1,24,11,7,22,9,2,3,2,93,PM10
Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",20-11-2023 12:00:00,23.016834,72.625775,82,273,152,112,187,141,5,7,6,19,100,27,3,61,33,2,4,3,3,8,5,152,PM2.5
Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",20-11-2023 12:00:00,23.041137,72.456691,71,73,72,94,98,96,15,17,16,22,26,23,30,32,30,22,24,23,83,87,85,96,PM10
Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",20-11-2023 12:00:00,23.023389,72.515201,71,73,72,77,78,78,1,4,2,29,32,30,1,48,21,15,19,17,5,7,6,78,PM10
Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",20-11-2023 12:00:00,23.076793,72.627874,45,124,73,81,142,100,18,22,19,64,102,74,18,38,24,13,18,15,23,25,24,100,PM10
Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM",20-11-2023 12:00:00,23.043070,72.562968,93,215,142,116,159,138,3,3,3,36,86,43,5,20,13,3,6,5,1,2,1,142,PM2.5
Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",20-11-2023 12:00:00,21.613267,73.010555,64,258,140,54,146,100,17,118,47,43,126,92,4,22,14,31,32,31,5,6,6,140,PM2.5
Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",20-11-2023 12:00:00,23.163798,72.677768,93,159,129,107,137,121,1,3,2,6,16,12,14,39,18,7,13,8,1,2,1,129,PM2.5
Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",20-11-2023 12:00:00,23.243639,72.68994,133,333,227,108,178,131,5,6,6,29,50,41,30,36,34,10,14,11,5,5,5,227,PM2.5
Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",20-11-2023 12:00:00,23.221714,72.654328,71,133,95,64,112,86,10,12,11,34,127,46,1,46,15,4,26,10,1,2,1,95,PM2.5
Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",20-11-2023 12:00:00,22.410802,73.097923,23,23,23,16,22,19,,,,50,50,50,,,,2,52,10,,,,50,CO
Gujarat,Surat,"Science Center, Surat - SMC",20-11-2023 12:00:00,21.170046,72.795405,28,429,199,29,500,194,9,13,11,26,64,51,,,,5,18,10,,,,199,PM2.5
Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",20-11-2023 12:00:00,20.362421,72.918013,52,303,142,106,331,184,45,46,46,130,185,170,1,6,2,,,,6,6,6,184,PM10
Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",20-11-2023 12:00:00,22.969611,72.643500,87,152,107,86,120,101,5,7,6,62,66,64,7,57,34,23,124,49,2,2,2,107,PM2.5
Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",20-11-2023 12:00:00,30.379589,76.778328,84,283,163,73,152,110,20,28,25,48,113,89,18,36,27,77,225,158,13,67,34,163,PM2.5
